text,label,group_id
ну ээисправн сообщение коротко,1,pos_cmd_text__11
"слушай, понятно.",0,neg_misc__16
хм как укорить инференс моели,1,pos_help_tech__26
хм у нас завтра…,0,neg_misc__38
ну оля как дела,0,neg_smalltalk_to_person__11
"ээ, выключи музыку на 30 процентов пожалуйста",1,pos_cmd_media__09
слушай игорь проверь почту,0,neg_cmd_to_person__00
м напомни погоду на завтра,1,pos_mix__08
какя погода сейчас,1,pos_q_weather__00
прибавь трек погромче?,1,pos_cmd_media__06
"такну, продолжа пожалуйста",1,pos_dialog_control__15
ээ тм Саха включи свет,0,neg_cmd_to_person__08
"ну, Петя, что нового?",0,neg_smalltalk_to_person__15
ээ ну петя как дела,0,neg_smalltalk_to_person__14
"эм, брат, помоги с кодом",0,neg_cmd_to_person__36
"ну, запусти будильник на 10 минут пожалуйста",1,pos_cmd_timer__09
шеф посмотри что там,0,neg_cmd_to_person__24
дима включи свет,0,neg_cmd_to_person__11
м так я сегодня очень устал,0,neg_statement_random__18
так мм проверь сообщение простыми словами,1,pos_cmd_text__22
… сообщение коротко,1,pos_cmd_text__14
"короче ну, кажется начался дождь",0,neg_statement_random__23
мм окей,0,neg_misc__03
мы встречаемся в семь вечера.,0,neg_misc__31
Дима ты гдг?,0,neg_smalltalk_to_person__32
"так ээ, выключи музыку пожалуйста",1,pos_cmd_media__00
хм Аня сбрось ссылку,0,neg_cmd_to_person__01
м останови будильник на 1 час,1,pos_cmd_timer__08
хм петя ты где?,0,neg_smalltalk_to_person__04
слушай как настроить aec пожалуйста,1,pos_help_tech__29
слушай мм сегодня был сложный день.,0,neg_statement_random__08
шеф объясни домашку,0,neg_cmd_to_person__08
ясно,0,neg_misc__23
мм Лена выключи свет,0,neg_cmd_to_person__08
"так, мм, оля, поставь таймер пожалуйста",0,neg_cmd_to_person__27
останови будиьник на 5 минут.,1,pos_cmd_timer__11
так м пауза,1,pos_dialog_control__12
умеешь напоминание через час,1,pos_mix__22
"таз, пауза!",1,pos_dialog_control__20
ну поставь напоминание на 1 час,1,pos_cmd_timer__17
коллега ты где,0,neg_smalltalk_to_person__04
ээ слушай какой сегодня день недели,1,pos_q_info__05
нократи абзац по дружески,1,pos_cmd_text__06
пауза заметку про идеи…,1,pos_mix__20
шеф ты где,0,neg_smalltalk_to_person__12
короче так переведи описание коротко пожалуйста,1,pos_cmd_text__23
слушай ну какй прогной на выходные,1,pos_q_weather__09
у меня завтра много дел если честно.,0,neg_statement_random__35
ээ прибавь музыку для работы,1,pos_cmd_media__05
мм шеф ты скоро,0,neg_smalltalk_to_person__19
ээ выключи трек потише,1,pos_cmd_media__04
ну Петя закажи пиццу,0,neg_cmd_to_person__26
так слушай сравни ошибки в коде,1,pos_mix__12
ээ ну будет ли дождь завтра,1,pos_q_weather__19
"оля, открой окно",0,neg_cmd_to_person__06
м так брат закажи пиццу,0,neg_cmd_to_person__35
добавь погоду на збвтца,1,pos_mix__07
включи музыку потише,1,pos_cmd_media__25
"Катя, включи свет",0,neg_cmd_to_person__04
мм слушай прибавь громкость,1,pos_cmd_media__11
в холодильнике почти ничего нет.,0,neg_misc__23
"так м, поставь напоминание на 5 минут",1,pos_cmd_timer__11
"так, ккая погода сейчас пожалуйста",1,pos_q_weather__19
эм мм что нового в новостях,1,pos_q_info__18
ну ну надо купить молоко и хлеб наверное.,0,neg_statement_random__32
"ээ, так, шеф, что нового?",0,neg_smalltalk_to_person__29
короче ээ брат поставь чайник,0,neg_cmd_to_person__25
"эм, какая погода завтра пожалуйста",1,pos_q_weather__28
ээ так какая погода завтра пожалуйста,1,pos_q_weather__05
"Надя, что нового",0,neg_smalltalk_to_person__24
м мм Лена ты где,0,neg_smalltalk_to_person__20
ээ бра апомни мне завтра,0,neg_cmd_to_person__29
ээ короче проверь сообщение официально,1,pos_cmd_text__08
эм короче как ускорить инференс модели.,1,pos_help_tech__06
м давай подробнее!,1,pos_dialog_control__10
мм ээ отмена,1,pos_dialog_control__04
поставь перевод на…,1,pos_mix__02
шеф перезвони позже пожалуйста,0,neg_cmd_to_person__32
мм мне надо позвонить другу.,0,neg_statement_random__38
"так, пап, что нового?",0,neg_smalltalk_to_person__32
запусти будильник на завтра…,1,pos_cmd_timer__15
хм ээ какая погода завтра,1,pos_q_weather__25
одтанови будильник на завтра утром,1,pos_cmd_timer__00
"аня, открой окно",0,neg_cmd_to_person__23
хм эм отмени объяснение vad пожалуйста,1,pos_mix__01
"сессра, что нового?",0,neg_smalltalk_to_person__31
ээ эм что нового в новостях,1,pos_q_info__13
короче так давай подробнее,1,pos_dialog_control__01
хм я хочу спать.,0,neg_misc__10
ээ слушай почему код падает,1,pos_help_tech__21
"м, хм, игорь, поставь таймер пожалуйста",0,neg_cmd_to_person__22
надо купить молоко и хлеб если честно.,0,neg_statement_random__13
эм аня что нового,0,neg_smalltalk_to_person__22
"так, прибавь трек погромче?",1,pos_cmd_media__08
саша как деа,0,neg_smalltalk_to_person__07
ю му оля поставь чайник,0,neg_cmd_to_person__18
эм мм я люблю эту песню кажется,0,neg_statement_random__09
переведи письмо?,1,pos_cmd_text__12
"ну, слушай, запусти бдильник на 10 минут пожалуйста",1,pos_cmd_timer__19
слушай какая температура на улице?,1,pos_q_weather__06
мм пап как дела,0,neg_smalltalk_to_person__02
короче повтори ещё раз,1,pos_dialog_control__05
короче отмени таймер на 1 час пожалуйста,1,pos_cmd_timer__29
так эм добавь заметку про идеи пожалуйста,1,pos_mix__24
м колега посавь чайник,0,neg_cmd_to_person__15
катя ты скоро?,0,neg_smalltalk_to_person__24
маша закажи пиццу,0,neg_cmd_to_person__34
слушай ну исправь абзац,1,pos_cmd_text__11
стоит ли радио,1,pos_mix__22
ф ж опаздываю на встречу.,0,neg_misc__36
ну эм папа прибавь громкость пожалуйста,0,neg_cmd_to_person__05
м я люблю эту песню,0,neg_statement_random__37
м почему код падает,1,pos_help_tech__27
короче ээ шеф ты гюе,0,neg_smalltalk_to_person__15
короче хм Оля что нового,0,neg_smalltalk_to_person__30
эм вчера было холодно,0,neg_misc__02
ээ останови напоминание на минут…,1,pos_cmd_timer__03
м слушай мы встречаемся в…,0,neg_statement_random__05
хм переведи письмо коротко пожалуйста,1,pos_cmd_text__24
м короче прибавь громкость погромче пожалуйста?,1,pos_cmd_media__24
слушай ну сестра ты скоро,0,neg_smalltalk_to_person__05
ну мне надо позвонить другу.,0,neg_misc__23
ээ убавь музыку,1,pos_cmd_media__21
ээ будет ли дождь завтра,1,pos_q_weather__22
"слушай, проверь абзац официально пожалуйста",1,pos_cmd_text__22
ээ эм надо купить молоко и хлеб,0,neg_statement_random__29
… пап сбрось ссылку,0,neg_cmd_to_person__07
м хм как ускорить инференс модели пожалуйста,1,pos_help_tech__17
мм поставь шудиьник на 1 час,1,pos_cmd_timer__20
сестра ты скоро,0,neg_smalltalk_to_person__10
м помоги разобраться с ошибкой в python…,1,pos_help_tech__26
слушай какой сегодня день недели пожалуйста,1,pos_q_info__16
сколько сейчас вревени пожалуйста!,1,pos_q_info__03
надя ты где,0,neg_smalltalk_to_person__18
… у нас завтра созвон в общем,0,neg_statement_random__16
… м помоги разобраться с ошибкой в python пожалуйста,1,pos_help_tech__17
"так, в холодильнике почти ничего нет",0,neg_misc__23
перефразируй письмо коротко пожалуйста!,1,pos_cmd_text__03
"мм, коллега, закажб пицу",0,neg_cmd_to_person__36
какая как сделать запрос http,1,pos_mix__00
м дед как дела,0,neg_smalltalk_to_person__20
ну Аня как дела,0,neg_smalltalk_to_person__11
эм выклчи плейлист пофромче пожалуйста.,1,pos_cmd_media__11
мм так как сколько времени,1,pos_mix__20
"Ваня, ты скоро",0,neg_smalltalk_to_person__02
хм Лена ты скоро,0,neg_smalltalk_to_person__36
хм хм давай подробнее пожалуйста,1,pos_dialog_control__13
останрви таймер на 10 гинут,1,pos_cmd_timer__23
я опаздываю на встречу,0,neg_statement_random__17
так мне нужно закончить задачу в общем,0,neg_statement_random__38
эм слушай Петя ты скоро,0,neg_smalltalk_to_person__35
так Оля ты скоро?,0,neg_smalltalk_to_person__16
м я сегодня очень устал,0,neg_misc__16
я люблю эту песню наверное.,0,neg_statement_random__21
слушай мм помоги разобраться с ошибкой в python,1,pos_help_tech__04
слушай пап ты где,0,neg_smalltalk_to_person__25
ь опаздывтю на встречу,0,neg_statement_random__18
ну паузе,1,pos_dialog_control__15
ну прибавь радио,1,pos_cmd_media__14
"короче, я читал статью про нейросети",0,neg_misc__03
мм поставь плейлист для работы.,1,pos_cmd_media__27
так мм перефразируй описание по дружески пожалуйста!,1,pos_cmd_text__10
"ээ ну, перефразируй абзац…",1,pos_cmd_text__15
сделай задачу в to do.,1,pos_mix__24
эм какая почему код падает пожалуйста?,1,pos_mix__17
перефразируй погоду на завтра,1,pos_mix__18
короче ну давай подробнее.,1,pos_dialog_control__06
… меня закончился кофе,0,neg_misc__14
ну я любрю эту псню,0,neg_misc__09
"аня, ты…",0,neg_smalltalk_to_person__03
… какая погода завтра?,1,pos_q_weather__10
мм ну у меня болит голова,0,neg_statement_random__15
включ плейлист погромч,1,pos_cmd_media__21
м у нс ёавтра созвон,0,neg_misc__34
короче будет ли дождь завтра,1,pos_q_weather__20
"хм ну, отмена",1,pos_dialog_control__07
"ээ короче, папа, сбрось…",0,neg_cmd_to_person__08
короче поставь будильник на 10 минут пожалуйста,1,pos_cmd_timer__01
переведи абзац по дружески,1,pos_cmd_text__18
эм ээ Латя как дела,0,neg_smalltalk_to_person__20
мм ну я думаю взять выходной,0,neg_statement_random__07
"короче, я хочу спать",0,neg_misc__24
хм Саша объясни домашку,0,neg_cmd_to_person__00
короче ээ в…,0,neg_statement_random__15
эм какой сегодня день недели пожалуйста!,1,pos_q_info__16
перефразируй этот текст,1,pos_cmd_text__13
ну я хочу спать.,0,neg_statement_random__39
так какие где ближяйшая аптека пожалуйста?,1,pos_mix__23
… Аня закажи пиццу,0,neg_cmd_to_person__31
"Сергей, закрой…",0,neg_cmd_to_person__33
"ээ, продолжай пожалуйста?",1,pos_dialog_control__12
слушай м какой прогноз на выходные,1,pos_q_weather__07
поставь напоминание на 1 час,1,pos_cmd_timer__09
… описание простыми словами,1,pos_cmd_text__05
исправь описание коротко пожалуйста,1,pos_cmd_text__12
мм эм стоп,1,pos_dialog_control__19
"короче, как ускорить инференс модели пожалуйста.",1,pos_help_tech__27
так сестра ты где,0,neg_smalltalk_to_person__04
петя как дела?,0,neg_smalltalk_to_person__23
маша включи свец,0,neg_cmd_to_person__10
ээ объясни как работает…,1,pos_help_tech__13
"ну лена, ты где?",0,neg_smalltalk_to_person__31
в метро опять задержка,0,neg_statement_random__32
так продолжай,1,pos_dialog_control__08
слушай м нет,0,neg_misc__31
мм стоп,1,pos_dialog_control__00
ээ слушай поставь трек потише,1,pos_cmd_media__06
"Лена, ты скоро?",0,neg_smalltalk_to_person__17
ээ исправь письмо пожалуйста,1,pos_cmd_text__16
эм запусти будильник на завтра утром пожалуйста,1,pos_cmd_timer__09
папа похяавь таймер пожалуйста,0,neg_cmd_to_person__32
"мама, что нового",0,neg_smalltalk_to_person__20
ля закрой дверь,0,neg_cmd_to_person__03
мм катя проверь почту,0,neg_cmd_to_person__05
ээ дима закрой дверь,0,neg_cmd_to_person__07
продолжай?,1,pos_dialog_control__12
хм можно ли громкость на 30 процентов,1,pos_mix__14
"так, м коллхга, как дела?",0,neg_smalltalk_to_person__15
поставь плейлист потише!,1,pos_cmd_media__28
ну Сергей проверь почту,0,neg_cmd_to_person__26
так Оля объясни домашку,0,neg_cmd_to_person__25
слушай ну давай подробнее,1,pos_dialog_control__23
ээ я хочу спать в общем.,0,neg_statement_random__17
"ээ, шеф, как дела?",0,neg_smalltalk_to_person__03
… настроить aec пожалуйста,1,pos_help_tech__09
"короче, в холодильнике почти ничего нет если честно.",0,neg_statement_random__36
прибавь трек погромче,1,pos_cmd_media__15
ну будет ли дождь завтра!,1,pos_q_weather__04
выклбчимузыку потише,1,pos_cmd_media__11
"слушай, прибавь радио потише пожалуйста",1,pos_cmd_media__19
эм какая погода…,1,pos_q_weather__18
убавь громкость погромче.,1,pos_cmd_media__10
можно ли задачу в to do.,1,pos_mix__22
ну исправь абзац простыми словами пожалуйста,1,pos_cmd_text__23
прибавь плейлист погромче пожалуйста,1,pos_cmd_media__20
помоги разобраться с ошибкой в pytho,1,pos_help_tech__09
останови таймер на 10 минут,1,pos_cmd_timer__25
мне нужн закончть задачу,0,neg_misc__00
… нас завтёа созвон,0,neg_misc__22
мм аня включи свет,0,neg_cmd_to_person__10
"м, Дима, прибавь громкость пожалуйста",0,neg_cmd_to_person__21
"короче, ээ, получится ли музыку пожалуйста?",1,pos_mix__01
мама напомни мне завтра пожалуйста,0,neg_cmd_to_person__18
хм сколько сейчас времени,1,pos_q_info__13
ээ что нового в новостях,1,pos_q_info__14
ну слушай кажется начался дождь,0,neg_misc__14
шеф выключи свет,0,neg_cmd_to_person__24
… мм пап объясни домашку пожалуйста,0,neg_cmd_to_person__00
короче поставь музыку для работы пожалуйста,1,pos_cmd_media__28
м исправь абзац официально,1,pos_cmd_text__10
ым каой прогноз на выходные,1,pos_q_weather__28
ээ угу,0,neg_misc__27
эм слушай продолжай заметку про идеи,1,pos_mix__06
эм останови будиьник на 10 миут,1,pos_cmd_timer__00
… было холодно.,0,neg_statement_random__22
ну запусти таймер на 10 минут!,1,pos_mix__14
мм ээ пап выключи свет пожалуйста,0,neg_cmd_to_person__15
ну слушай стоп,1,pos_dialog_control__09
продолжай курс евро к доллару пожалуйста,1,pos_mix__18
хм Аня…,0,neg_cmd_to_person__29
ладно.,0,neg_misc__27
так эм я люблю эту песню,0,neg_statement_random__12
ну у меня завтра много дел,0,neg_statement_random__08
ороче проверь абзац по дружески пожалуйса,1,pos_cmd_text__19
выключи мрзыку погромче?,1,pos_cmd_media__24
ээ проверь этот текст по дружески!,1,pos_cmd_text__18
м мне нужно закончить задачу в общем,0,neg_statement_random__25
Дма ты где,0,neg_smalltalk_to_person__34
запусти будильник на 10 минут пожалуйста?,1,pos_cmd_timer__19
"Надя, закрой дверь",0,neg_cmd_to_person__03
вчера было хоодно,0,neg_statement_random__21
"слушай, объясни как работает vad?",1,pos_help_tech__07
лена ты скоро,0,neg_smalltalk_to_person__34
короче хм какой прогноз на выходные?,1,pos_q_weather__24
м исправь абзац простыми словами,1,pos_cmd_text__14
аня включи свет,0,neg_cmd_to_person__20
мм перефразируй описание,1,pos_cmd_text__07
хм скажи курс…,1,pos_mix__15
м петя объясни домашку,0,neg_cmd_to_person__04
"аня, как ела?",0,neg_smalltalk_to_person__05
мм оля ты где,0,neg_smalltalk_to_person__23
создай объяснение vad?,1,pos_mix__18
эм мм выключи музыку для работы пожалуйста,1,pos_cmd_media__13
слушай я не уверен что это хорошая идея,0,neg_misc__22
эм мм какая погода сейчас пожалуйста,1,pos_q_weather__29
хм хм ладно,0,neg_misc__35
хм ну какой сегодня день недели,1,pos_q_info__24
мне пршл сообщение,0,neg_misc__27
ну отмежи таймер в 7 30,1,pos_cmd_timer__20
слушай корочп да,0,neg_misc__03
хм короче да,0,neg_misc__21
короче слушай бабушка включи свет,0,neg_cmd_to_person__29
м запусти таймер на завтра утром,1,pos_cmd_timer__01
мама прибавь громкость пожалуйста,0,neg_cmd_to_person__06
м проверь таймер на 10 минут пожалуйста,1,pos_mix__05
переведи этот текст по дружески пожалуйста?,1,pos_cmd_text__20
м мы встречаемся в семь вечера,0,neg_statement_random__16
сестрачто нового,0,neg_smalltalk_to_person__39
мне нужно закончить задачу наверное,0,neg_statement_random__36
мм короче кажется начался дождь,0,neg_misc__19
будьт ли ождь завтра пожалуйста,1,pos_q_weather__13
э пап сбрёсь ссылку,0,neg_cmd_to_person__24
хм Ваня посмотри что там…,0,neg_cmd_to_person__03
"лена, ты где",0,neg_smalltalk_to_person__25
почему что хучше threadsили async пожалуйста,1,pos_mix__11
запусти таймьр на 5 нинут,1,pos_cmd_timer__07
… отмени таймер на завтра утром,1,pos_cmd_timer__12
включи громкость потише,1,pos_cmd_media__17
мм прибавь громкость погромче,1,pos_cmd_media__12
"слушай, Дима, что нового?",0,neg_smalltalk_to_person__11
короче ээ шеф открой окно,0,neg_cmd_to_person__01
слушай поставь плейлист для работы.,1,pos_cmd_media__08
ну мне нравится этот фильм,0,neg_misc__08
хм поставь напоминание на 1 час,1,pos_cmd_timer__07
… мм какой сегодня день недели пожалуйста,1,pos_q_info__19
мм короче переведи письмо,1,pos_cmd_text__22
"хм, какой прогноз на выходные пожалуйста",1,pos_q_weather__26
короче Петя что нового,0,neg_smalltalk_to_person__34
так какой курс евро к доллару,1,pos_q_info__29
эм ну Аня напомни мне завтра,0,neg_cmd_to_person__35
ээ хм включи громкость для работы пожалуйста.,1,pos_cmd_media__15
… сложный день,0,neg_statement_random__35
как настроить aec пожалуйста,1,pos_help_tech__21
короче хм что нового в…,1,pos_q_info__27
нгорь что нового,0,neg_smalltalk_to_person__02
эм в холодильнике почти ничего нет.,0,neg_misc__16
исравь описание по ружески пожалуйста,1,pos_cmd_text__09
… у меня болит голова,0,neg_statement_random__15
проверь перевод на английский.,1,pos_mix__19
объясни как работает vad пожалуйста,1,pos_help_tech__00
хм Катя объяски домашку пожалуста,0,neg_cmd_to_person__20
ээ так в метро опять задержка,0,neg_misc__04
так м проверь этот текст простым словами пожалуйст?,1,pos_cmd_text__06
"мм, слушай бабушка, ты где",0,neg_smalltalk_to_person__15
"ваня, ты скоро?",0,neg_smalltalk_to_person__34
Оля убавь громкость пожалуйста,0,neg_cmd_to_person__12
"хм катя, объясни домашку",0,neg_cmd_to_person__17
мм ээ запусти будильник на завтра утром,1,pos_cmd_timer__04
… эм отмени напоминание на 5 минут,1,pos_cmd_timer__20
х м какой курсевро к доллару,1,pos_q_info__23
ну перефразируй сообщение простыми…,1,pos_cmd_text__24
… м почему код падает пожалуйста,1,pos_help_tech__25
Сергей скинь фйл,0,neg_cmd_to_person__29
"ну, сколько сейчас времени",1,pos_q_info__11
ну мм убавь радио,1,pos_cmd_media__21
поставь радио пожалуйста,1,pos_cmd_media__26
"слушай слушай, сколько будет 17 умножить на 23!",1,pos_q_info__26
"слушай, шеф,…",0,neg_cmd_to_person__29
"короче, будет ли дождь завтра пожалуйста!",1,pos_q_weather__28
мм поставь напоминание на завтра утром,1,pos_cmd_timer__24
… брат напомни мне завтра,0,neg_cmd_to_person__26
… в офисе сегодня шумно,0,neg_misc__26
"м, в тро опять задержка",0,neg_statement_random__30
эм ну мне надо позвонить другу,0,neg_statement_random__19
так нужно ли пример на python пожалуйста.,1,pos_mix__10
мм Саша прибавь громкость пожалуйста,0,neg_cmd_to_person__14
шеф чы скоро,0,neg_smalltalk_to_person__26
"короче, эм, запусти напоминание на 5 минут.",1,pos_cmd_timer__08
эм объясни напоминание через час пожалуйста,1,pos_mix__16
… радо на 30 проценов,1,pos_cmd_media__06
… код падает,1,pos_help_tech__23
"мама, ы где?",0,neg_smalltalk_to_person__36
ээ папа поставь таймер пожалуйста,0,neg_cmd_to_person__14
м хм поставь плейлист на 30 процентов пожалуйста,1,pos_cmd_media__20
мм выключи музыку на 30 процентов пожалуйста,1,pos_cmd_media__05
лена скинь файл пожалуйста,0,neg_cmd_to_person__21
… aec пожалуйста?,1,pos_help_tech__15
папа напщмни мне завтра пожалуста,0,neg_cmd_to_person__11
так ну…,0,neg_smalltalk_to_person__01
кажется…,0,neg_statement_random__27
короче еф ты где,0,neg_smalltalk_to_person__35
"ну, нет",0,neg_misc__00
… Надя ты скоро?,0,neg_smalltalk_to_person__32
короче я давно не был в отпуске наверное,0,neg_statement_random__14
мм да,0,neg_misc__28
ну хм выключи радио погромче пожалуйста,1,pos_cmd_media__27
переведи описание простыюи…,1,pos_cmd_text__00
ээ эм сколько будет 17 умножить на 23,1,pos_q_info__08
ну поставь музыку на 30 процентов?,1,pos_cmd_media__08
"хм ваня, поставь таймер",0,neg_cmd_to_person__33
мм м песефразируй абзац коротко пожалуйста!,1,pos_cmd_text__23
… короче папа прибавь громкость,0,neg_cmd_to_person__32
пфп проверь почту,0,neg_cmd_to_person__36
эм ээ скажи напоминание через час,1,pos_mix__03
запусти тайме в 7 30 пожалуйста,1,pos_cmd_timer__28
так отмени напоминание на 10 минут пожалуйста!,1,pos_cmd_timer__14
хм я люблю эту песню,0,neg_statement_random__16
корче у нас завтна созвон,0,neg_misc__06
м эм останови плейлист для работы,1,pos_mix__26
короче понятно.,0,neg_misc__38
поставь громкость.,1,pos_cmd_media__27
короче как ускорить инференс модели,1,pos_help_tech__00
слушай ну у меня завтра много дел.,0,neg_misc__11
ээ что нового в новостях.,1,pos_q_info__21
"короче, сестра, что нового?",0,neg_smalltalk_to_person__02
м Петя выключи свет,0,neg_cmd_to_person__04
ну запусти напоминание на 5 минут,1,pos_cmd_timer__18
провер сообщение по дружесци,1,pos_cmd_text__16
ну сравни таймер на 10 минут,1,pos_mix__28
эм Катя ты сшоро,0,neg_smalltalk_to_person__02
эм слушай проверь сообщение простыми словами,1,pos_cmd_text__10
"так, выключи громкость на 30 процентов пожалуйста.",1,pos_mix__18
ээ в холодильнике почти ничего нет,0,neg_misc__14
"мм, эм бушка, ты скоро?",0,neg_smalltalk_to_person__15
"м, можешь погоду в амстердаме?",1,pos_mix__02
короче убавь громкость для работы пожалуйста,1,pos_cmd_media__17
"м бабушка, закрой дверь",0,neg_cmd_to_person__08
короче ну останови таймер на 10 минут,1,pos_cmd_timer__05
хм Саша что нового?,0,neg_smalltalk_to_person__06
"слушай, поставь таймер на 10 минтпожалуйста!",1,pos_cmd_timer__01
"шеф, поставь таймер",0,neg_cmd_to_person__29
"так, сафа, ты где?",0,neg_smalltalk_to_person__24
м какая температура на улице!,1,pos_q_weather__06
ээ пауза,1,pos_dialog_control__17
выключи плейлист,1,pos_cmd_media__15
м перефразируй радиш пмжалуйста,1,pos_mix__28
слушай я думаю взять выходной.,0,neg_misc__32
ээ ом как настоить aec,1,pos_help_tech__13
так ясно,0,neg_misc__03
так ээ вчера было холодно в общем,0,neg_statement_random__19
короче я опаздываю на встречу.,0,neg_statement_random__17
помоги разобраться с ошибкой в python,1,pos_help_tech__20
"мама, напомни мнезвтра",0,neg_cmd_to_person__38
сестра закажи пиццу,0,neg_cmd_to_person__12
мм хм брат скинь файл пожалуйста,0,neg_cmd_to_person__23
эм эм мы встречаемся в семь вечера,0,neg_misc__11
убавь громкость на 30 процентов,1,pos_cmd_media__11
включи радио для работы,1,pos_cmd_media__28
слушай м мне нравится этот фильм,0,neg_statement_random__00
коллега скинь файл пожалуйста,0,neg_cmd_to_person__29
"ээ оля, что нового?",0,neg_smalltalk_to_person__23
